,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,19,U,GT3,T,3,3,other,other,,other,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,3,1,2,3,10,3.0,3.0,3.0
1,GP,F,15,U,,A,3,4,other,other,,mother,1,2,0,yes,,no,yes,yes,yes,yes,yes,,3,2,1,1,1,0,2.75,3.5,3.75
2,GP,F,15,U,GT3,T,4,4,teacher,teacher,,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4.0,3,2,1,1,5,0,5.0,5.0,4.75
3,GP,M,16,U,LE3,T,4,3,health,other,,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,1,3,1,3,5,4,3.0,3.5,3.5
4,GP,M,19,U,LE3,A,4,3,services,at_home,,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,3,1,1,1,1,12,3.75,3.75,3.75
5,GP,M,18,R,GT3,T,2,2,services,other,,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3.0,3,3,1,2,4,0,2.75,2.0,1.0
6,GP,F,18,U,GT3,T,2,2,at_home,at_home,,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,2,2,5,5.5,5.5,5.75
7,GP,F,18,U,LE3,T,2,2,other,other,,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4.0,3,3,1,1,2,0,3.0,3.0,1.0
8,GP,M,17,U,LE3,T,4,4,teacher,other,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,4,4,1,3,5,0,4.25,3.75,3.5
9,GP,M,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,4.0,3,3,2,2,2,-1,3.5,3.5,1.0
10,MS,F,18,R,LE3,T,4,4,other,other,,mother,2,3,0,no,no,no,no,yes,yes,yes,no,5.0,4,4,1,1,1,0,5.75,5.5,5.75
11,GP,F,17,U,GT3,A,2,1,other,other,,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3.0,2,3,1,2,3,-1,4.0,3.5,4.0
12,GP,M,22,U,GT3,T,3,1,services,services,,mother,1,1,3,no,no,no,no,no,no,yes,yes,5.0,4,5,5,5,1,16,2.5,3.0,3.0
13,GP,F,16,U,GT3,T,2,2,at_home,other,,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3.0,1,2,1,1,5,6,3.5,4.25,4.25
14,GP,M,16,U,LE3,T,4,3,services,other,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,2,1,2,5,10,4.75,4.75,4.75
15,MS,F,20,U,GT3,T,4,2,health,other,,other,2,3,2,no,yes,yes,no,no,yes,yes,yes,5.0,4,3,1,1,3,4,4.75,4.5,4.75
16,MS,M,19,R,GT3,T,1,1,other,other,,other,3,1,1,no,yes,no,no,yes,yes,yes,no,4.0,4,4,3,3,5,4,3.0,3.0,3.0
17,GP,F,17,U,GT3,T,4,4,other,teacher,,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4.0,2,1,1,1,4,0,3.75,3.75,4.0
18,GP,F,15,U,GT3,T,4,4,services,services,,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4.0,4,4,2,3,5,6,2.75,3.25,3.0
19,GP,M,17,R,GT3,T,1,3,other,other,,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5.0,2,4,1,4,5,20,3.25,2.75,3.0
20,GP,F,17,U,,T,2,2,other,other,,father,1,1,0,no,,no,no,yes,yes,yes,yes,,4,4,1,3,5,12,3.5,4.25,4.0
21,GP,F,18,U,GT3,T,3,3,services,services,,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5.0,3,4,1,1,4,0,2.75,1.0,1.0
22,GP,F,17,R,LE3,T,2,2,services,services,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3.0,3,2,2,2,3,3,3.75,3.75,3.75
23,GP,F,16,U,GT3,T,4,3,other,at_home,,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5.0,3,5,1,1,3,0,2.75,3.25,3.0
24,GP,F,17,U,GT3,T,3,3,other,other,,mother,1,3,0,no,no,no,yes,no,yes,no,no,3.0,2,3,1,1,4,4,3.5,3.25,3.25
25,GP,F,16,U,GT3,T,2,3,services,services,,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,3,3,1,1,2,10,3.75,4.0,4.25
26,GP,M,17,U,GT3,T,3,1,services,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5.0,4,4,3,4,5,2,3.25,3.25,3.5
27,GP,F,18,U,LE3,T,2,1,services,at_home,,mother,1,2,1,no,no,no,no,yes,yes,yes,yes,5.0,4,3,1,1,5,12,4.0,4.0,4.25
28,MS,F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,4,1,1,1,0,2.75,3.25,3.0
29,GP,F,17,U,GT3,T,3,4,services,other,,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4.0,4,5,1,3,5,16,5.0,4.75,4.75
30,GP,F,15,U,LE3,A,4,3,other,other,,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2,2,1,1,5,8,3.0,3.0,2.5
31,GP,M,15,U,GT3,T,2,3,other,other,,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5.0,3,2,1,2,5,4,3.75,3.5,3.75
32,GP,M,18,U,LE3,T,1,1,other,other,,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2.0,3,5,2,5,4,0,2.5,2.25,1.0
33,GP,F,16,U,LE3,T,2,4,other,health,,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,2,2,1,2,5,2,4.25,4.25,4.25
34,GP,F,15,U,GT3,T,1,1,other,services,,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,2,1,2,5,0,3.0,3.75,3.75
35,GP,F,16,U,,T,2,2,services,services,,mother,3,2,0,no,,yes,no,yes,yes,yes,no,,3,3,2,3,4,2,4.0,4.25,4.25
36,GP,F,16,U,GT3,T,2,1,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4.0,3,5,1,1,5,2,3.0,3.25,3.5
37,GP,M,16,U,GT3,T,4,3,health,services,,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4.0,2,2,1,1,2,4,5.75,5.75,6.0
38,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5.0,4,2,1,1,5,8,3.25,3.25,3.25
39,GP,F,17,U,GT3,T,1,1,other,other,,mother,1,2,0,no,yes,yes,no,no,yes,no,no,4.0,4,4,1,3,1,4,3.25,3.25,3.5
40,GP,F,17,U,LE3,T,4,3,health,other,,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3.0,2,3,1,2,3,14,4.25,4.25,4.5
41,GP,F,16,U,GT3,T,4,2,teacher,services,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,3,3,1,1,1,0,3.75,3.5,3.5
42,MS,F,17,R,GT3,T,1,1,other,services,,mother,3,1,1,no,yes,yes,no,yes,yes,yes,yes,5.0,2,1,1,2,1,0,2.75,2.5,1.0
43,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5.0,5,5,3,4,5,6,3.75,3.75,3.5
44,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5.0,5,5,2,4,5,16,2.5,2.25,2.25
45,GP,F,18,R,LE3,T,1,1,at_home,other,,mother,2,4,0,no,yes,yes,yes,yes,yes,no,no,5.0,2,2,1,1,3,1,4.0,4.0,4.0
46,GP,F,17,R,GT3,A,3,2,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,2,3,2,4,3.25,3.5,3.5
47,GP,M,18,U,LE3,T,3,4,services,other,,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,3,3,1,3,5,11,5.0,4.75,4.75
48,GP,F,16,U,GT3,T,4,3,health,other,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,5,1,5,2,2,5.0,5.0,5.0
49,GP,M,15,U,GT3,T,2,2,services,services,,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5,4,1,2,5,6,5.0,4.5,4.75
50,GP,F,15,R,GT3,T,3,3,services,services,,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4.0,2,1,2,3,3,8,3.5,3.5,3.5
51,MS,F,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,5.0,3,4,1,1,5,0,3.5,3.25,3.25
52,GP,F,16,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,1.0,3,2,1,1,1,10,3.75,4.0,4.25
53,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,5.0,4,5,2,3,5,0,3.5,3.5,3.25
54,GP,M,16,U,GT3,T,3,4,other,other,,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3.0,4,5,2,4,2,-1,2.5,2.25,1.0
55,GP,M,15,U,LE3,A,2,1,services,other,,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4.0,5,5,2,5,5,0,3.0,3.25,3.5
56,GP,F,16,U,GT3,A,2,2,other,other,,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,3.0,3,4,1,1,4,0,4.0,4.25,4.5
57,GP,F,16,U,GT3,T,3,2,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,1.0,2,2,1,2,1,14,4.0,4.25,4.0
58,GP,M,15,U,LE3,T,4,3,teacher,services,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,3,1,1,4,2,4.75,5.0,5.5
59,GP,M,18,R,GT3,T,3,2,other,other,,mother,1,3,0,no,no,no,yes,no,yes,no,no,5.0,3,2,1,1,3,1,4.25,4.0,4.0
60,GP,F,16,U,GT3,T,3,3,other,other,,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5.0,3,2,1,1,4,4,3.0,3.5,3.5
61,GP,F,17,U,,T,1,1,at_home,services,,mother,1,2,0,no,,no,yes,yes,yes,yes,no,,3,3,1,1,3,0,3.0,3.0,3.25
62,GP,F,17,R,LE3,T,4,4,services,other,,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5.0,2,1,1,2,3,12,3.0,3.5,3.5
63,GP,M,15,U,GT3,T,2,2,services,services,,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5.0,4,1,1,1,1,0,3.0,3.0,3.75
64,GP,M,16,U,LE3,T,4,3,teacher,other,,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5.0,4,5,1,1,3,0,2.5,1.0,1.0
65,GP,M,15,U,GT3,T,3,4,other,other,,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4,3,1,2,4,6,4.5,4.25,4.25
66,GP,M,17,R,LE3,T,1,1,other,services,,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5.0,3,5,1,5,5,0,2.25,3.0,2.75
67,MS,F,17,R,GT3,T,3,1,at_home,other,,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4.0,5,4,2,3,1,17,3.5,3.5,3.5
68,GP,M,16,U,GT3,T,0,2,other,other,,mother,1,1,0,no,no,yes,no,no,yes,yes,no,4.0,3,2,2,4,5,0,4.25,4.75,4.75
69,GP,F,16,U,LE3,T,3,3,other,other,,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,4,5,1,1,4,4,3.5,3.75,3.25
70,GP,M,15,U,GT3,T,4,2,other,other,,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3.0,3,3,1,1,3,0,3.5,3.5,3.5
71,GP,M,15,U,LE3,A,4,4,teacher,teacher,,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,5,3,1,1,4,6,5.5,5.75,5.75
72,GP,M,17,R,LE3,T,2,1,at_home,other,,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3.0,3,2,2,2,5,0,2.75,2.5,1.0
73,MS,F,19,U,LE3,T,3,2,services,services,,other,2,2,2,no,no,no,yes,yes,yes,no,yes,3.0,2,2,1,1,3,4,2.75,2.75,3.25
74,GP,F,17,U,GT3,A,4,4,other,teacher,,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4.0,1,4,1,1,1,6,2.5,2.25,2.5
75,GP,F,17,U,LE3,T,2,2,services,other,,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,yes,4.0,4,4,2,3,5,6,4.0,4.0,4.0
76,GP,F,15,R,GT3,T,3,4,services,teacher,,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4.0,2,2,2,2,5,0,4.0,1.0,1.0
77,MS,M,17,U,GT3,T,3,3,health,other,,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,5,4,2,3,3,2,4.25,4.25,4.25
78,GP,M,18,U,GT3,T,4,4,other,other,,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4.0,3,3,2,2,3,3,3.25,4.0,3.75
79,GP,F,18,U,LE3,T,3,3,services,services,,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5.0,3,3,1,1,1,7,5.0,4.75,5.25
80,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3.0,3,3,2,3,2,4,2.75,2.5,2.5
81,GP,F,15,U,GT3,T,4,4,services,at_home,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3,3,1,1,5,0,3.75,1.0,1.0
82,GP,F,15,U,,T,2,2,other,other,,mother,1,4,0,yes,,yes,no,yes,yes,yes,no,,1,2,1,1,3,8,2.75,3.0,3.0
83,GP,F,16,U,GT3,T,4,4,health,health,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4.0,4,2,1,1,3,0,4.5,4.5,4.5
84,GP,M,17,U,LE3,T,1,1,health,other,,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4.0,4,4,1,2,5,2,2.75,3.25,3.0
85,MS,M,18,U,LE3,T,1,3,at_home,services,,mother,1,1,1,no,no,no,no,yes,no,yes,yes,4.0,3,3,2,3,3,7,3.0,2.75,3.0
86,GP,F,15,R,GT3,T,3,4,services,health,,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,5,-1,4.0,4.0,3.75
87,GP,F,16,U,GT3,T,1,1,services,services,,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5.0,5,5,5,5,5,6,3.5,3.0,3.75
88,GP,F,18,U,GT3,T,4,4,teacher,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,4,3,3,5,2,3.75,3.75,3.75
89,GP,M,15,U,GT3,A,2,2,other,other,,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,5,2,1,1,3,0,4.5,5.0,5.0
90,GP,F,16,U,LE3,T,4,4,health,health,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5.0,4,5,1,1,4,4,4.5,4.75,5.0
91,GP,M,18,U,LE3,T,4,4,teacher,teacher,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,yes,1.0,4,2,2,2,1,5,5.0,4.75,5.0
92,GP,M,16,R,GT3,T,4,2,teacher,services,,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3,3,3,4,3,10,3.5,3.0,3.25
93,GP,M,17,U,LE3,T,2,2,other,other,,father,1,2,0,no,no,yes,yes,no,yes,yes,yes,4.0,4,2,5,5,4,4,4.5,4.25,4.25
94,MS,M,19,R,GT3,T,1,1,other,services,,mother,2,1,1,no,no,no,no,yes,yes,no,no,4.0,3,2,1,3,5,0,2.5,2.25,1.0
95,GP,M,16,U,GT3,T,3,2,other,other,,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5.0,4,3,1,1,5,0,4.0,4.5,4.75
96,GP,M,15,R,GT3,T,3,4,at_home,teacher,,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5.0,3,3,1,1,5,0,3.25,1.0,1.0
97,MS,M,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,2,3,3,3,5,5,3.0,3.25,3.25
98,GP,M,16,U,,A,3,4,services,other,home,mother,1,2,0,yes,,no,yes,yes,yes,yes,no,,3,3,1,1,5,4,3.75,3.75,3.75
99,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5.0,4,2,1,1,5,0,4.0,4.75,4.75
100,GP,F,16,U,LE3,T,2,2,other,at_home,,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4.0,3,3,2,2,5,14,3.5,3.5,3.25
101,GP,F,16,U,LE3,T,1,2,other,services,,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4.0,4,3,1,1,1,4,3.0,3.5,3.25
102,GP,F,17,R,GT3,T,2,2,other,other,,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5.0,3,2,1,2,3,18,2.75,2.5,2.5
103,GP,F,19,U,GT3,T,2,1,services,services,,other,1,3,1,no,no,yes,yes,yes,yes,yes,yes,4.0,3,4,1,3,3,4,3.75,4.0,3.75
104,GP,F,15,R,GT3,T,2,4,services,health,,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,5,2,3.5,3.25,3.0
105,GP,M,17,U,GT3,T,2,1,other,other,,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,5.0,4,5,1,2,5,0,2.25,1.0,1.0
106,GP,F,16,U,GT3,T,4,2,services,other,,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4.0,2,3,1,1,5,2,4.75,5.0,5.0
107,GP,F,16,U,GT3,T,2,2,services,other,,mother,2,2,0,no,no,yes,yes,no,yes,yes,no,3.0,4,4,1,4,5,2,4.25,4.25,3.75
108,GP,M,15,U,GT3,T,4,4,services,services,,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,3,1,1,1,5,0,5.25,5.0,5.25
109,GP,M,18,U,GT3,T,2,2,other,services,,father,1,2,1,no,no,no,no,yes,no,yes,no,5.0,5,4,3,5,2,0,2.75,2.75,1.0
110,GP,F,16,U,GT3,T,4,4,services,services,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3.0,2,3,1,2,2,6,4.25,4.5,4.5
111,GP,F,15,U,GT3,T,1,2,at_home,other,,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4.0,3,2,1,1,5,2,3.5,3.75,3.75
112,GP,F,17,R,GT3,T,2,1,at_home,services,,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4.0,2,5,1,2,5,2,2.5,2.5,2.5
113,MS,F,17,U,GT3,T,2,2,other,at_home,,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,3.0,4,3,1,1,3,8,4.25,3.75,3.75
114,GP,F,15,R,,T,3,1,other,other,reputation,father,2,4,0,no,,no,no,no,yes,yes,no,,4,2,2,3,3,12,5.0,5.0,5.0
115,GP,F,18,U,GT3,T,4,3,other,other,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,3,4,1,1,5,9,3.25,3.5,3.25
116,GP,M,16,U,LE3,T,2,2,other,other,,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,4,2,4,5,0,4.25,4.25,4.0
