,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
235,GP,M,16,U,GT3,T,3,3,services,other,,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4.0,2,3,1,2,3,2,4.0,4.25,4.0
236,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,4,1,1,1,1,0,4.25,4.5,4.75
237,GP,F,17,U,GT3,T,2,3,at_home,other,,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3.0,3,3,1,4,3,3,2.75,2.75,3.0
238,GP,M,15,U,LE3,T,4,4,teacher,other,,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5.0,4,3,2,4,5,-1,4.0,4.0,4.0
239,GP,M,16,U,GT3,T,2,2,other,other,,father,1,2,0,no,no,no,no,yes,no,yes,no,4.0,3,5,2,4,4,4,3.5,3.5,3.5
240,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4.0,2,2,1,1,5,2,3.25,3.75,3.75
241,GP,F,16,U,LE3,T,4,3,teacher,services,,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5.0,4,3,1,2,1,2,5.0,4.75,4.75
242,GP,F,16,U,GT3,T,4,4,teacher,services,,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5.0,3,2,1,1,5,0,4.25,4.25,4.5
243,GP,F,15,U,,T,3,2,health,services,,father,1,2,3,no,,no,no,yes,yes,yes,no,,3,2,1,1,3,0,2.5,2.75,1.0
244,GP,F,17,U,LE3,T,2,4,services,services,,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4.0,3,2,1,1,5,0,4.5,4.75,4.75
245,GP,F,16,U,LE3,T,2,2,other,other,,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3.0,3,3,1,2,3,25,2.75,3.5,3.75
246,GP,F,16,U,LE3,A,3,3,other,services,,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2.0,3,5,1,4,3,12,3.75,4.0,3.75
247,GP,M,17,R,LE3,A,4,4,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3.0,3,3,2,3,4,2,3.5,3.75,4.0
248,GP,F,15,U,,T,4,4,services,teacher,,father,1,2,1,yes,,no,yes,no,yes,yes,no,,4,4,1,1,3,2,2.75,2.75,2.75
249,GP,F,17,U,GT3,T,4,4,services,teacher,,mother,2,1,1,no,yes,no,no,yes,yes,yes,no,4.0,2,4,2,3,2,24,5.5,5.5,5.5
250,GP,F,18,U,GT3,T,2,4,services,at_home,,other,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4.0,4,3,1,1,3,8,4.5,4.0,4.0
251,GP,M,15,U,,A,3,4,services,other,,mother,1,2,0,no,,yes,yes,yes,yes,yes,no,,4,4,1,1,1,0,5.0,5.5,5.5
252,GP,M,18,U,GT3,T,4,3,teacher,other,,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4.0,3,2,1,1,3,2,3.0,3.0,3.0
253,GP,M,17,U,GT3,T,4,4,teacher,teacher,,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4.0,5,5,1,3,2,14,3.75,3.25,3.25
254,GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,no,3.0,2,4,2,4,4,13,2.5,2.5,3.0
255,MS,F,17,R,GT3,T,1,2,other,other,,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3.0,5,5,1,3,1,14,2.5,2.25,2.25
256,MS,M,18,U,LE3,T,4,4,teacher,services,,mother,2,3,0,no,no,yes,no,yes,yes,yes,yes,4.0,2,2,2,2,5,0,4.25,4.25,4.25
257,GP,M,17,U,GT3,T,4,4,services,teacher,,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5.0,2,3,1,2,5,4,5.25,4.75,5.0
258,GP,F,15,U,LE3,T,3,2,services,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,4,1,1,5,10,2.75,2.5,2.5
259,GP,M,17,U,,T,1,3,at_home,services,,father,1,1,0,no,,no,no,yes,no,yes,no,,3,3,1,4,2,2,3.5,3.5,3.5
260,MS,F,18,R,LE3,A,1,4,at_home,other,,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4.0,3,4,1,4,5,0,4.25,4.25,4.25
261,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4.0,3,1,1,1,2,8,4.5,4.25,4.25
262,GP,M,15,R,GT3,T,4,4,other,other,,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1.0,3,5,3,5,1,6,3.5,4.25,4.25
263,GP,M,17,R,GT3,T,2,2,other,other,,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,5,2,1,1,1,4,3.75,3.75,3.75
264,MS,F,19,R,GT3,T,2,3,services,other,,mother,1,3,1,no,no,no,yes,no,yes,yes,no,5.0,4,2,1,2,5,0,2.75,2.25,1.0
265,GP,M,17,U,GT3,T,1,1,other,other,,father,1,2,0,no,no,yes,no,no,yes,yes,no,4.0,3,3,1,2,4,2,4.0,3.5,3.75
266,GP,M,16,U,LE3,T,1,2,other,other,,mother,2,1,1,no,no,no,yes,yes,yes,no,no,4.0,4,4,2,4,5,0,2.75,1.0,1.0
267,GP,F,17,U,LE3,T,4,2,teacher,services,,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4.0,2,3,1,1,4,6,4.5,4.0,4.25
268,GP,M,16,U,GT3,T,4,4,teacher,teacher,,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3.0,3,2,2,1,5,0,2.75,2.5,1.0
269,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2.0,2,4,2,4,1,4,4.75,5.0,4.75
270,GP,F,19,U,LE3,T,1,2,services,services,,other,1,2,1,no,no,no,yes,no,yes,no,yes,4.0,2,4,2,2,3,0,3.25,3.25,1.0
271,MS,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4.0,4,3,1,1,3,2,3.75,3.75,3.5
272,GP,F,15,U,GT3,T,4,4,services,services,,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3.0,3,4,2,3,5,0,3.0,3.5,3.75
273,GP,M,17,R,GT3,T,2,1,other,other,,mother,1,1,0,no,no,no,no,no,yes,yes,no,4.0,4,2,2,4,5,0,3.0,4.0,4.0
274,GP,M,16,U,GT3,T,4,4,health,other,,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3.0,4,4,1,4,5,18,4.5,3.75,4.25
275,GP,F,16,U,,T,4,3,teacher,health,,mother,1,3,0,yes,,yes,yes,yes,yes,yes,no,,4,4,2,4,4,2,3.5,3.25,3.25
276,GP,M,17,U,GT3,T,3,3,other,other,,father,1,2,0,no,no,no,yes,no,yes,yes,no,4.0,3,4,1,4,4,4,2.5,2.25,2.5
277,GP,F,17,U,GT3,T,1,1,at_home,other,,father,1,2,0,no,yes,no,no,no,yes,yes,no,5.0,3,3,1,1,3,4,2.25,2.25,2.5
278,MS,F,18,U,GT3,T,2,3,at_home,services,,father,2,1,0,no,yes,yes,no,yes,yes,yes,yes,5.0,2,3,1,2,4,0,3.75,3.5,3.5
279,MS,M,18,R,GT3,T,1,3,at_home,other,,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3.0,3,4,2,4,3,4,3.5,3.5,3.5
280,GP,M,17,U,LE3,A,3,2,teacher,services,,mother,1,1,1,no,no,no,no,yes,yes,yes,no,4.0,4,4,3,4,3,19,3.75,3.25,3.5
281,GP,M,18,U,GT3,T,3,2,services,other,course,mother,2,1,1,no,no,no,no,yes,no,yes,no,4.0,4,5,2,4,5,0,2.5,3.0,3.0
282,GP,F,18,R,GT3,T,2,1,other,other,,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,4.0,3,5,1,2,3,0,2.5,1.0,1.0
283,GP,M,19,U,GT3,T,1,2,other,services,,other,1,2,1,no,no,no,no,no,yes,yes,no,4.0,5,2,2,2,4,3,4.25,3.75,3.75
284,GP,M,15,R,GT3,T,3,2,other,other,,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4.0,4,4,1,4,3,6,2.25,3.25,2.75
285,GP,F,16,U,GT3,T,2,3,services,teacher,,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,2.0,3,1,1,1,3,2,5.0,5.0,5.25
286,GP,M,17,R,GT3,T,1,2,at_home,at_home,,mother,1,2,0,no,yes,yes,yes,no,yes,no,yes,3.0,5,2,2,2,1,2,4.75,4.5,4.5
287,GP,M,15,R,GT3,T,4,3,teacher,at_home,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4.0,5,2,1,1,5,0,5.25,5.0,5.0
288,GP,M,16,U,GT3,T,3,3,other,services,,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4.0,51,5,4,4,5,4,3.5,4.0,4.0
289,GP,F,15,U,GT3,T,2,1,services,other,,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,2,2,1,1,4,4,3.5,4.0,4.0
290,GP,M,19,U,GT3,T,3,2,services,at_home,,mother,1,1,3,no,yes,no,no,yes,no,yes,yes,4.0,5,4,1,1,4,0,2.25,1.0,1.0
291,MS,M,18,R,LE3,T,1,1,at_home,other,,mother,2,2,1,no,no,no,yes,no,no,no,no,4.0,4,3,2,3,5,2,4.25,4.0,4.0
292,GP,F,15,U,,T,4,3,services,other,,mother,1,1,0,no,,yes,yes,yes,yes,yes,no,,5,5,1,3,1,4,5.0,5.25,5.5
293,MS,F,17,R,GT3,T,1,2,other,services,,father,2,2,0,no,no,no,no,no,yes,no,no,3.0,2,2,1,2,3,0,4.0,3.75,4.0
294,GP,M,15,U,GT3,T,3,4,services,services,,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5.0,5,5,3,2,5,0,4.25,4.25,4.0
295,GP,M,16,U,GT3,T,3,3,at_home,other,,other,3,2,0,yes,yes,no,no,no,yes,yes,no,5.0,3,3,1,3,2,6,2.75,3.5,3.5
296,GP,F,15,U,GT3,A,4,3,services,services,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,2,1,1,1,0,4.5,4.75,4.75
297,MS,F,18,U,GT3,T,3,3,other,other,,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4.0,1,3,1,2,1,0,4.75,4.75,4.75
298,GP,M,15,U,LE3,T,4,4,health,services,,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,3,1,3,5,2,4.5,4.5,4.5
299,GP,M,17,U,LE3,T,4,4,services,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5.0,3,5,4,5,3,13,4.0,4.0,4.25
300,GP,F,17,U,LE3,T,3,3,other,other,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5.0,3,3,2,3,1,56,3.25,3.25,3.0
301,GP,F,17,U,GT3,T,3,2,other,other,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4.0,3,2,2,3,2,0,2.75,3.0,1.0
302,GP,M,17,R,GT3,T,2,2,services,other,,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,4.0,4,5,5,5,4,8,3.75,3.5,3.5
303,GP,F,18,U,GT3,T,2,1,other,other,,other,2,3,0,no,yes,yes,no,no,yes,yes,yes,4.0,4,4,1,1,3,0,2.75,1.0,1.0
304,GP,M,15,U,GT3,T,2,2,other,other,,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4.0,2,2,1,2,5,2,4.0,4.0,3.75
305,GP,M,16,U,LE3,T,4,2,teacher,other,,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4.0,56,1,1,3,5,2,4.75,4.75,5.0
306,GP,M,17,U,GT3,T,3,3,services,services,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4.0,3,4,2,3,4,12,4.0,4.0,3.75
307,GP,F,17,R,GT3,T,2,4,at_home,other,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,4,3,1,1,5,7,4.0,4.5,4.5
308,GP,F,19,U,GT3,T,4,4,health,other,,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,2.0,3,4,2,3,2,0,3.5,3.25,1.0
309,GP,F,17,U,GT3,T,2,4,at_home,health,,mother,2,2,0,no,yes,yes,no,yes,yes,yes,yes,4.0,3,3,1,1,1,2,3.5,3.5,3.5
310,GP,F,15,U,GT3,T,3,2,services,other,,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4.0,3,5,1,1,2,26,2.75,2.5,2.5
311,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,1,5,2,5.0,5.5,5.5
312,GP,F,17,U,GT3,T,4,3,health,other,,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,3,1,3,4,0,4.25,4.75,4.75
313,MS,F,18,U,LE3,T,1,1,at_home,services,,father,2,3,0,no,no,no,no,yes,yes,yes,no,5.0,3,2,1,1,4,0,5.5,5.0,5.0
314,MS,F,18,R,GT3,T,4,4,other,teacher,,father,3,2,0,no,yes,yes,no,no,yes,yes,yes,3.0,2,2,4,2,5,10,4.5,4.0,3.75
315,GP,F,16,U,GT3,A,3,1,services,other,,mother,1,2,31,no,yes,yes,no,yes,yes,yes,no,2.0,3,3,2,2,4,5,2.75,2.75,2.75
316,GP,F,16,U,GT3,T,3,4,at_home,other,,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2.0,4,3,1,2,3,12,2.25,2.25,2.25
317,GP,F,19,R,GT3,T,2,3,other,other,,other,1,3,1,no,no,no,no,yes,yes,yes,yes,4.0,1,2,1,1,3,40,4.25,3.75,3.75
318,GP,F,18,R,GT3,T,1,1,at_home,other,,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5.0,2,5,1,5,4,6,3.25,3.0,3.5
319,GP,F,17,U,GT3,T,1,1,services,teacher,,mother,1,3,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,1,3,6,4.25,4.0,4.0
320,GP,M,16,R,LE3,T,3,3,teacher,other,,father,3,1,0,no,yes,yes,yes,yes,yes,yes,no,3.0,3,4,3,5,3,8,3.25,3.25,3.5
321,GP,F,16,U,LE3,T,1,1,at_home,at_home,,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3.0,4,4,3,3,1,2,4.5,4.5,4.25
322,GP,F,17,U,GT3,T,2,2,other,other,,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4.0,2,2,1,1,3,12,3.75,3.25,3.25
323,GP,F,15,R,LE3,T,2,2,health,services,,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4.0,1,3,1,3,4,2,3.0,3.25,3.0
324,MS,M,21,R,GT3,T,1,1,other,other,,other,1,1,3,no,no,no,no,no,yes,no,no,5.0,5,3,3,3,3,3,3.5,3.0,2.75
325,GP,F,18,R,GT3,A,3,2,other,services,,mother,2,2,0,no,no,no,no,no,no,yes,yes,4.0,1,1,1,1,5,75,3.5,3.25,3.25
326,GP,M,18,U,,T,4,4,teacher,services,,mother,2,1,0,no,,yes,yes,yes,yes,yes,no,,2,4,1,4,3,22,3.25,3.25,3.25
327,GP,M,15,U,,T,4,3,teacher,other,,mother,1,2,0,no,,yes,yes,yes,yes,yes,no,,3,3,2,3,5,6,3.25,3.25,3.5
328,GP,M,16,U,GT3,T,4,4,services,services,,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5.0,3,2,1,2,5,0,4.25,4.0,4.0
329,GP,M,16,U,GT3,T,2,3,other,other,,father,2,1,0,no,no,no,no,yes,yes,yes,no,5.0,3,3,1,1,3,0,4.25,4.5,4.5
330,GP,M,15,U,GT3,T,2,3,other,services,,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3.0,2,2,1,3,3,2,3.5,4.0,4.0
331,GP,F,15,U,GT3,T,4,2,other,other,,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,3,3,1,3,1,4,4.25,4.5,4.5
332,GP,F,18,U,GT3,T,4,4,health,health,,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2.0,4,4,1,1,4,15,3.25,3.0,3.0
333,GP,F,16,U,LE3,T,4,4,teacher,teacher,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,5,2,1,2,3,0,3.25,3.25,3.5
334,GP,F,15,U,GT3,T,2,3,other,other,,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3.0,5,1,1,1,5,0,3.0,2.75,2.5
335,GP,F,16,U,GT3,T,2,2,other,other,,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,1,5,1,1,4,0,2.5,2.75,1.0
336,GP,M,16,U,LE3,T,1,1,services,other,,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4.0,4,4,1,3,5,0,4.5,4.0,4.0
337,MS,F,18,U,GT3,T,3,3,services,services,,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4.0,3,2,1,3,3,0,3.75,3.75,3.5
338,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3.0,1,2,1,1,1,2,2.75,3.5,3.5
339,GP,F,17,U,GT3,A,4,3,services,services,,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5.0,2,2,1,2,5,23,4.25,4.25,4.25
340,GP,M,16,U,GT3,T,4,4,teacher,teacher,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,5,5,5,5,16,3.5,4.0,3.75
341,GP,M,16,R,GT3,T,4,4,teacher,teacher,,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,5,5,2,5,4,8,5.5,5.5,5.5
342,GP,M,17,U,GT3,T,3,3,health,other,,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4.0,4,3,1,3,5,4,4.5,4.0,3.75
343,GP,M,18,U,LE3,A,4,4,teacher,teacher,,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,3,1,1,2,9,4.75,4.25,4.75
344,GP,F,19,U,GT3,T,1,1,at_home,health,,other,1,3,2,no,no,no,no,no,yes,yes,yes,4.0,1,2,1,1,3,14,4.75,4.25,4.25
345,GP,M,17,U,GT3,T,4,3,other,other,,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5.0,2,3,1,1,2,4,3.5,3.5,3.75
346,GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5.0,3,3,1,3,2,10,3.75,3.25,3.5
347,GP,F,15,U,,T,1,1,at_home,other,,mother,1,2,33,yes,,yes,no,yes,yes,yes,no,,3,2,2,3,3,-1,2.75,3.0,3.5
348,GP,M,17,U,LE3,T,2,3,services,services,,father,1,2,0,no,yes,yes,no,no,yes,yes,no,5.0,3,3,1,3,3,2,4.0,3.75,4.0
349,GP,F,17,R,,T,3,1,services,other,,mother,2,4,0,no,,yes,no,yes,yes,no,no,,1,2,1,1,3,6,5.5,5.5,5.5
350,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,3,3,1,1,5,2,3.75,4.25,4.25
351,GP,F,17,U,,T,4,4,teacher,services,course,mother,1,3,0,no,,yes,yes,yes,yes,yes,no,,4,4,1,3,4,7,3.5,3.25,3.25
352,GP,M,16,U,GT3,T,1,2,services,services,,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,3.0,3,3,1,2,3,2,3.75,4.0,3.75
353,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,3.0,4,2,1,1,5,2,2.75,3.0,3.25
354,MS,F,18,R,GT3,T,4,4,teacher,at_home,,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4,3,2,2,5,7,2.5,2.25,2.5
